Council,Column,Category,Old value,New value
Auckland Council,Description 1,Description,"Qualified opinion on the service performance information: The Group in its Long-term plan 2024-2034 has included a new performance measure for its monitoring of high-risk resource consents. The Council has reported its performance against this measure in Volume 1 on pages 82 and 84. As explained by the Council on page 82 and footnote 8 on pages 85-86, there are data integrity issues, including inaccuracies in the risk classifications for consents. Due to these data limitations, we are unable to determine whether the reported result is materially correct. As a result, our opinion is qualified in respect of this performance measure.","Qualified opinion on the service performance information. The Group in its Long-term plan 2024-2034 has included a new performance measure for its monitoring of high-risk resource consents. The Council has reported its performance against this measure in Volume 1 on pages 82 and 84. As explained by the Council on page 82 and footnote 8 on pages 85-86, there are data integrity issues, including inaccuracies in the risk classifications for consents. Due to these data limitations, we are unable to determine whether the reported result is materially correct. As a result, our opinion is qualified in respect of this performance measure."
Bay of Plenty Regional Council,Latitude,Coordinate,-37.6873287,-37.6876422
Bay of Plenty Regional Council,Longitude,Coordinate,176.1699317,176.16694227
Buller District Council,Latitude,Coordinate,-41.7543,-41.75519988
Buller District Council,Longitude,Coordinate,171.6006,171.59944983
Central Hawke's Bay District Council,Latitude,Coordinate,-39.9440977,-39.94412743259987
Central Hawke's Bay District Council,Longitude,Coordinate,176.584584,176.584444389014
Central Otago District Council,Latitude,Coordinate,-45.2553765,-45.25672455
Central Otago District Council,Longitude,Coordinate,169.3918401,169.389591
Chatham Islands Council,Longitude,Coordinate,183.4393957,-176.5606042
Christchurch City Council,Description 1,Description,"Statement of service performance: Our work in the prior year was limited in relation to the performance measure: The average quality of ride on the sealed local road network, measured by smooth travel exposure The Council is required to report against the performance measures set out in the Non-Financial Performance Measure Rules 2024 (the Rules) made by the Secretary for Local Government. These mandatory performance measures include the average quality of ride on the sealed local road network measured by smooth travel exposure. This performance measure is important because road smoothness is indicative of the quality of service provided to the community. For the 30 June 2024 performance year, we were unable to obtain assurance over the accuracy of traffic estimate data used to calculate the performance measure, because this estimate data was not sufficiently up to date, as described on pages 132 and 133 of the annual report. The actual average quality of ride on the sealed local road network in the prior year may therefore differ materially from the result reported. As a result, our work was limited and there were no practicable audit procedures we could apply to obtain assurance over the accuracy of reported performance for this measure for the 2024 performance year, reported as comparative information. Our audit opinion on the statement of service performance for the year ended 30 June 2024 was modified accordingly. This issue has been resolved for the 30 June 2025 year. As the limitation on our work cannot be resolved for the 30 June 2024 year, the Council’s performance information reported for this measure for the 30 June 2025 year may not be directly comparable to the 30 June 2024 performance information.","Statement of service performance: Our work in the prior year was limited in relation to the performance measure. The average quality of ride on the sealed local road network, measured by smooth travel exposure The Council is required to report against the performance measures set out in the Non-Financial Performance Measure Rules 2024 (the Rules) made by the Secretary for Local Government. These mandatory performance measures include the average quality of ride on the sealed local road network measured by smooth travel exposure. This performance measure is important because road smoothness is indicative of the quality of service provided to the community. For the 30 June 2024 performance year, we were unable to obtain assurance over the accuracy of traffic estimate data used to calculate the performance measure, because this estimate data was not sufficiently up to date, as described on pages 132 and 133 of the annual report. The actual average quality of ride on the sealed local road network in the prior year may therefore differ materially from the result reported. As a result, our work was limited and there were no practicable audit procedures we could apply to obtain assurance over the accuracy of reported performance for this measure for the 2024 performance year, reported as comparative information. Our audit opinion on the statement of service performance for the year ended 30 June 2024 was modified accordingly. This issue has been resolved for the 30 June 2025 year. As the limitation on our work cannot be resolved for the 30 June 2024 year, the Council’s performance information reported for this measure for the 30 June 2025 year may not be directly comparable to the 30 June 2024 performance information."
Clutha District Council,Description 1,Description,"Qualified Opinion on the Statement of Service Performance: We were unable to obtain sufficient appropriate audit evidence for some of the performanceinformation related to each of the three waters services. From 1 July 2023 new contractor arrangementswere put in place for the delivery of water, wastewater and stormwater services at Council. Due to thetransition, data related to response times to customer notifications and resolution of faults orinterruptions was either not captured, or inaccurately captured for multiple months during the 2024/25 period, meaning Council has been unable to accurately report certain measures.","Qualified Opinion on the Statement of Service Performance. We were unable to obtain sufficient appropriate audit evidence for some of the performanceinformation related to each of the three waters services. From 1 July 2023 new contractor arrangementswere put in place for the delivery of water, wastewater and stormwater services at Council. Due to thetransition, data related to response times to customer notifications and resolution of faults orinterruptions was either not captured, or inaccurately captured for multiple months during the 2024/25 period, meaning Council has been unable to accurately report certain measures."
Clutha District Council,Latitude,Coordinate,-46.2352,-46.2484542
Clutha District Council,Longitude,Coordinate,169.7314,169.71851412
Environment Canterbury Regional Council,Description 1,Description,"Qualified opinion on the statement of service performance (called ‘Reporting on our core services’) Statement of service performance: Our work was limited in relation to theperformance measure: Percentage of stopbanks, river berms and fairways on our six major flood protection and control schemes that are inspected annually. An important part of the Council’s performance information relates to the inspection of its significant flood protection assets because of the impact that flooding can have on the community. As disclosed on page 59 of the annual report, the GIS system did not systematically record the details of when inspectionsfor river berms and fairways took place. As a result, our work was limited andthere were no practicable audit procedures we could apply to determine whether the Council’s reported performance for this performance measure of 92% fairly presents actual performance for the reporting year.","Qualified opinion on the statement of service performance (called ‘Reporting on our core services’) Statement of service performance. Our work was limited in relation to theperformance measure: Percentage of stopbanks, river berms and fairways on our six major flood protection and control schemes that are inspected annually. An important part of the Council’s performance information relates to the inspection of its significant flood protection assets because of the impact that flooding can have on the community. As disclosed on page 59 of the annual report, the GIS system did not systematically record the details of when inspectionsfor river berms and fairways took place. As a result, our work was limited andthere were no practicable audit procedures we could apply to determine whether the Council’s reported performance for this performance measure of 92% fairly presents actual performance for the reporting year."
Environment Canterbury Regional Council,Latitude,Coordinate,-43.5321,-43.53553217
Environment Canterbury Regional Council,Longitude,Coordinate,172.6362,172.63869843
Environment Southland (Southland Regional Council),Latitude,Coordinate,-46.3701274,-46.38067962
Environment Southland (Southland Regional Council),Longitude,Coordinate,168.3473024,168.3470941
Far North District Council,Latitude,Coordinate,-35.4096521,-35.40954845
Far North District Council,Longitude,Coordinate,173.8006771,173.80061581500001
Gore District Council,Latitude,Coordinate,-46.102549,-46.10222728
Gore District Council,Longitude,Coordinate,168.9416144,168.94176103
Greater Wellington Regional Council,Description 4,Description,"Future of water delivery Note 34 on pages 182 to 183 outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Wellington, Hutt, Porirua, and Upper Hutt City Councils to deliver water, wastewater and stormwater services from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still being considered.","Future of water delivery. Note 34 on pages 182 to 183 outlines that in response to the Government’s Local Water Done Well reforms, the Council has decided to establish a multi-owned water organisation with Wellington, Hutt, Porirua, and Upper Hutt City Councils to deliver water, wastewater and stormwater services from 1 July 2026. The financial impact of this decision is unknown because details of the exact arrangements are still being considered."
