School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Kerikeri High School,Tai Tokerau,2022,Highlighted matter,We drew attention to disclosures outlining that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,173.955389,-35.228354
Whangarei Boys' High School,Tai Tokerau,2023,Disagreement,We disagreed with the Board not complying with the Property Occupancy Document which requires the Board to prepare and annually review a property plan that includes all the maintenance requirements of the school over a continuous ten-year period. The school has not prepared its long-term maintenance planning and not obtained an independent assessment by a qualified person in the last three years.,,,,,174.318379,-35.716116
Whangarei Boys' High School,Tai Tokerau,2022,Highlighted matter,We drew attention to disclosures outlining that the school has not adjusted the provision for cyclical maintenance although it has been relocated to a new building in April 2022. The impact of the relocation on the provision for cyclical maintenance could not be reliably estimated.,,,,,174.318379,-35.716116
Bream Bay College,Tai Tokerau,2023,Highlighted matter,"We drew attention to disclosures outlining that the Board spent $24,426 on hospitality and gifts. This expenditure includes $ 10,671 for the previous principal's farewell ($5,610 of which was spent on jackets for the staff for school photos), $2,033 on gifts for the principal, and $5,611 for the new build opening. Although the expenditure was approved by the school Board, it was relatively high. It should be both moderate and conservative and appropriate to the occasion.",,,,,174.455784,-35.876079
Westlake Boys' High School,Tāmaki Herenga Tāngata,2023,Highlighted matter,"We highlighted that the school breached legislation by enrolling and meeting the costs of one international student in the year ended 31 December 203 through a scholarship. Legislation requires the school charge fees for international students that are not less than the estimated costs of providing tuition to one student in the relevant subject, course, or programme including the provision of capital facilities, plus any other fees prescribed for international students.",,,,,174.749491,-36.777366
Massey High School,Tāmaki Herenga Tāngata,2020,Highlighted matter,We drew attention to disclosures outlining that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2021.,,,,,174.601693,-36.84188
Nelson College for Girls Trust Foundation,Tāmaki Herenga Manawa,2023,Highlighted matter,We highlighted that we did not express an opinion on the statement of service performance.,,,,,174.803912,-36.865324
Baradene College,Tāmaki Herenga Manawa,2021,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2022.,,,,,174.800324,-36.865643
The Taumarunui High School Community Trust,Tāmaki Herenga Manawa,2023,Limitation,Our audit was limited because we could not get enough assurance about receipts of donations and sales. The Trustees had limited controls over those revenues.,,,,,174.770963,-36.919501
Howick College,Tāmaki Herenga Manawa,2023,Highlighted matter,"We highlighted that the school breached legislation by enroliing and meeting the costs of one international student in the year ended 31 December 2023 through a scholarship. Legislation requires the school charge fees for international students that are not less than the estimated costs of providing tuition to one student in the relevant subject, course, or programme including the provision of capital facilities, plus any other fees prescribed for international students.",,,,,174.939278,-36.90657
Tuakau College,Tāmaki Herenga Waka,2021,Highlighted matter,We highlighted that the Board breached the law by failing to submit audited financial statements to the Ministry of Education by 31 May 2022.,,,,,174.93426,-37.263023
Fraser High School,Waikato,2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence of an updated cyclical maintenance plan, it is possible that this provision could be materially misstated.",,,,,175.244737,-37.784283
Napier Boys' High School,"Hawke's Bay, Tairāwhiti",2022,Limitation,"Our audit was limited because we were unable to determine the fair value of the interest in Napier High Schools Land Endowment Trusts (the Endowment Trust), a third of which is owned by Napier Boys High School Charitable Trust, an entity controlled by the school. The Endowment Trust uses the fair value model, in keeping with generally accepted accounting practice (GAAP), to measure its investments. The investment properties were valued during the year using their respective quotable values, which is contrary to the requirement of GAAP, to reflect market conditions at the reporting date. The Group did not determine the difference between the quotable value and the current market value, which is expected to be material.",,,,,176.916453,-39.514768
Napier Boys' High School,"Hawke's Bay, Tairāwhiti",2023,Limitation,"Our audit was limited because we were unable to determine the fair value of the interest in Napier High Schools Land Endowment Trusts (the Endowment Trust), a third of which is owned by Napier Boys High School Charitable Trust, an entity controlled by the school. The Endowment Trust uses the fair value model, in keeping with generally accepted accounting practice (GAAP), to measure its investments. The investment properties were valued during the year using their respective quotable values, which is contrary to the requirement of GAAP, to reflect market conditions at the reporting date. The Group did not determine the difference between the quotable value and the current market value, which is expected to be material.",,,,,176.916453,-39.514768
William Colenso College,"Hawke's Bay, Tairāwhiti",2023,Disagreement,"We disagreed with the Board not preparing group financial statements that included its subsidiary, the William Colenso College Charitable Trust Board. This is a departure from generally accepted accounting practice, which requires the Board to present consolidated financial statements.",,,,,176.895837,-39.506065
William Colenso College,"Hawke's Bay, Tairāwhiti",2022,Disagreement,"We disagreed with the Board not preparing group financial statements that included its subsidiary, the William Colenso College Charitable Trust Board. This is a departure from generally accepted accounting practice, which requires the Board to present consolidated financial statements.",,,,,176.895837,-39.506065
Te Wharekura o Ruatoki,"Bay of Plenty, Waiariki",2021,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2022.,,,177.007448,-38.148073
Marlborough Girls' College,"Nelson, Marlborough, West Coast",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,173.944437,-41.507454
Nelson College,"Nelson, Marlborough, West Coast",2023,Highlighted matter,"We highlighted the Group breached legislation regarding, the Group’s borrowings, in aggregate, exceeded the limit set by regulation. ",Highlighted matter,"We highlighted the Group breached legislation regarding, the Group holds securities without the approval of the Ministers of Education and Finance.",,,173.275569,-41.285573
Kaikoura High School,"Nelson, Marlborough, West Coast",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,173.674454,-42.400438
Mangakino School,Waikato,2020,Limitation,Our audit was limited because we could not get enough assurance about the locally raised funds revenue and the payment of salaries. The Board had limited controls over that revenue and over salaries.,,,,,175.771411,-38.369528
Westminster Christian School,Tāmaki Herenga Tāngata,2022,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.710163,-36.76112
KingsGate School,Tāmaki Herenga Waka,2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the amount of the provision as the school did not have a 10-year property plan.",,,,,174.884558,-37.220357
Te Kura Maori o Nga Tapuwae,Tāmaki Herenga Waka,2022,Disagreement,We disagreed with the school for not preparing and annually reviewing the long-term maintenance plan or not having it independently assessed by a qualified person in the last three years due to an ongoing property review led by the Ministry of Education.,,,,,174.814456,-36.964239
Te Kura Maori o Nga Tapuwae,Tāmaki Herenga Waka,2023,Disagreement,We disagreed with the school for not preparing and annually reviewing the long-term maintenance plan or not having it independently assessed by a qualified person in the last three years due to an ongoing property review led by the Ministry of Education.,,,,,174.814456,-36.964239
Te Waka Unua School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.672639,-43.545671
Lyttelton Primary School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.723168,-43.602344
Rawhiti School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.717708,-43.496105
Cambridge West School,Waikato,2023,Highlighted matter,"We drew attention to disclosures outlining the uncertainties over the school's new building budget, future operations and financial sustainability. This is because the current government's budget proposals did not include 'new build funding' for the school.",,,,,175.449872,-37.88797
Combined Board South Auckland Middle School and Middle School West Auckland,Tāmaki Herenga Waka,2021,Highlighted matter,We drew attention to disclosures outlining the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2022,Highlighted matter,"We drew attention to disclosures outlining the Board breached the law by failing to obtain the prior approval of the Secretary of Education for the school to enter into contracts of more than $25,000 with a Board member who has declared a conflict of interest for the year ended 31 December 2021.",,,174.88353,-37.040239
Waatea School,Tāmaki Herenga Waka,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,174.801896,-36.961083
Ahipara School,Tai Tokerau,2022,Highlighted matter,We highlighted that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2023.,,,,,173.153602,-35.171776
Te Kura o Omanaia,Tai Tokerau,2023,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,173.524334,-35.456578
Pouto School,Tai Tokerau,2023,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.101868,-36.28565
Tasman Bay Christian School,"Nelson, Marlborough, West Coast",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,173.055609,-41.195405
Blockhouse Bay School,Tāmaki Herenga Manawa,2023,Limitation,"Our audit was limited because we were unable to determine the carrying value of the school's property, plant, and equipment as at 31 December 2023. The school has obtained the estimated cost for the remedial work to resolve the weathertightness failure, which is between $100,000 and $250,000. The school has not evaluated the amount of impairment required for the building. This is because the extent of damages due to the weathertightness failure can only be known after actual remediation work is carried out in the future.",,,,,174.702162,-36.924902
Harrisville School,Tāmaki Herenga Waka,2019,Limitation,Our audit of the comparative information in the financial statements was limited. We issued disclaimers of opinion for the 2017 and 2018 financial statements. This is because we had been unable to get enough appropriate source documentation due to a significant fraud. Our opinion on the current period’s financial statements is qualified because of the possible effects of these matters on the comparability of the current period’s figures and the corresponding figures.,Highlighted matter,we drew attention to disclosures outlining that the school breached the law by failing to meet the statutory reporting deadline.,,,174.951571,-37.239972
Harrisville School,Tāmaki Herenga Waka,2018,Pervasive limitation,"We could not form an opinion on the 2017 and 218 financial statements because we were unable to obtain enough evidence due to instances of fraudulent transactions dating back to 2011. These transactions related to unlawful transfer of school funds to the perpetrator's personal bank accounts and thefts of money by creating fictitious invoices. A New Zealand Police investigation was conducted in 2020, and the perpetrator was found guilty. Some appropriate documentation was destroyed or not kept by the school. The Board of Trustees did not comply with the law requiring appropriate accounting records to be kept. ",Highlighted matter,We drew attention to disclosures outlining that the school breached the law by failing to meet the statutory reporting deadline.,,,174.951571,-37.239972
Matipo Road School,Tāmaki Herenga Tāngata,2023,Highlighted matter,We drew attention to disclosures outlining that the school is experiencing serious financial difficulties. The school has incurred several deficits over recent years and relies on support from the Ministry of Education to meet its obligations as they fall due.,,,,,174.641103,-36.837366
Okiwi School,Tāmaki Herenga Manawa,2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,175.394392,-36.154905
Otahuhu Intermediate,Tāmaki Herenga Waka,2020,Disagreement,"We disagreed with the Board not providing budgeted figures for the statement of financial position, statement of cash flows and other statements when it prepared the 2020 financial statements. This is a departure from generally accepted accounting practice, which requires the Board to include budgeted figures in the financial statements.",,,,,174.847248,-36.937133
Otahuhu Intermediate,Tāmaki Herenga Waka,2022,Disagreement,"We disagreed with the Board not providing budgeted figures for the statement of financial position, statement of cash flows and other statements when it prepared the 2022 financial statements. This is a departure from generally accepted accounting practice, which requires the Board to include budgeted figures in the financial statements.",,,,,174.847248,-36.937133
Otahuhu Intermediate,Tāmaki Herenga Waka,2023,Disagreement,"We disagreed with the Board not providing budgeted figures for the statement of financial position and statement of cash flows when it prepared the 2023 financial statements. This is a departure from generally accepted accounting practice, which requires the Board to include budgeted figures in the financial statements.",,,,,174.847248,-36.937133
Owairoa School,Tāmaki Herenga Manawa,2022,Highlighted matter,"We drew attention to disclosures outlining the school did not obtain concurrence from the Ministry of Education in purchasing a motor vehicle for $37,170 during 2019 to the Principal for his private use.",,,,,174.926309,-36.899077
Pukekohe Intermediate,Tāmaki Herenga Waka,2021,Limitation,Our audit was limited because we could not get enough assurance about the Recognised Teaching and Learning Benefits (RTLB). The Board did not have a complete and accurate recording of the RTLB Income and Expenditure in the financial statements,Highlighted matter,We drew attention to disclosures outlining that the Board breached the law by failing to submit the audited financial statements to the Ministry of Education by 31 May 2022.,,,174.901574,-37.2036
